Y,E1,E2,E3,E4,E5,E6,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19,G20,G21,G22,G23,G24,G25
2.15877E+11,1730.827315,408.7914886,230.4629687,907.3921786,1495.114221,1034.232605,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0
1.3128E+11,1091.556176,452.7372557,927.4439302,354.0813211,1244.448058,1189.986103,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,1,0,1
2.11941E+11,1443.037765,577.9489767,554.1052797,831.9719052,2254.322106,130.2397414,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,1,1
1.78832E+11,612.5452761,1047.054746,-455.9249995,1114.426936,1097.223637,1922.607513,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,1
-1.52872E+11,1119.185557,784.0143281,-381.0136573,972.4382964,1443.503146,-634.341394,0,0,NA,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1,1,1,0,1,1
-37313134166,321.6375065,176.353754,819.9311896,1007.837687,-56.57644224,643.8085695,1,0,1,0,1,1,1,1,0,0,0,1,1,1,1,1,0,0,1,0,0,0,NA,0,0
1.29171E+11,744.2999706,939.0626194,380.8298296,1349.783335,968.9896056,1930.032329,0,1,0,1,0,1,1,1,0,0,1,1,1,0,0,0,1,1,1,1,0,1,1,1,0
68615200427,534.3618904,-172.7086542,173.9410447,943.8198701,480.4684081,693.0889209,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,0,1,0,0,1,0,1,0,1
-1.43313E+11,504.3133664,1403.895145,NA,1206.358329,-89.94607746,1334.411758,0,1,0,1,1,1,0,0,0,0,1,0,0,1,1,1,1,0,1,0,1,1,1,1,0
74211678058,438.2849908,348.5428794,-1.029114183,990.5708541,1553.553202,525.1202917,1,0,0,0,1,0,0,0,1,0,1,0,1,1,1,1,1,1,0,0,1,1,0,0,0
3.02919E+11,1380.120938,1051.988228,835.6808236,1272.946674,658.3757189,1636.354128,0,1,0,1,1,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,NA,1,1
1.39782E+11,463.8301111,65.50366602,824.3043539,354.5641286,989.6382892,1187.849116,1,0,0,0,0,1,0,0,1,1,1,0,1,0,0,1,1,1,0,0,1,0,0,0,0
1.77332E+11,564.6421142,1868.445292,589.8676584,703.6382328,1183.977635,1077.942475,1,0,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0
64088534477,586.8249274,199.369516,-272.2935064,1177.222548,48.52773861,9.62982429,NA,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,1,1,0,1,0,1,1,1,0
1.08677E+11,110.5788946,-62.03913159,167.3155971,751.6175364,134.2870192,435.5748233,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,0,1,0,0,1,1,1,1
1.28768E+11,704.5322923,219.7844293,1095.388223,346.2213685,NA,1278.021772,1,0,1,1,1,1,1,0,1,0,NA,0,0,1,0,1,0,1,1,1,1,0,0,1,1
80516764122,1085.036069,429.6751189,-67.86944238,1130.009992,774.2678517,2281.755475,0,0,1,1,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,1
